,Category,Description,Nutrient Data Bank Number,Data.Alpha Carotene,Data.Beta Carotene,Data.Beta Cryptoxanthin,Data.Carbohydrate,Data.Cholesterol,Data.Choline,Data.Fiber,Data.Lutein and Zeaxanthin,Data.Lycopene,Data.Niacin,Data.Protein,Data.Retinol,Data.Riboflavin,Data.Selenium,Data.Sugar Total,Data.Thiamin,Data.Water,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Calcium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K,cluster
4193,Cereal (General Mills Chex Chocolate),Cereal (General Mills Chex Chocolate),57124030,0,0,0,81.09,0,12.9,2.0,1,0,14.3,4.8,429,1.2,13.8,26.2,1.1,2.19,5.0,1.6,1.6,8.39,286,0.25,25.7,29,143,186,629,10.69,429,4.3,1.42,17.1,1.69,4.9,3
4194,Cereal (General Mills Chex Cinnamon),Cereal (General Mills Chex Cinnamon),57124050,0,1,2,82.4,0,12.4,2.4,3,0,16.7,5.0,749,1.39,13.8,26.1,1.29,2.31,4.3,1.2,0.6,6.59,333,0.211,27.0,27,67,126,605,12.5,749,5.0,1.66,20.0,1.51,5.3,3
4195,Cereal (General Mills Cheerios Chocolate),Cereal (General Mills Cheerios Chocolate),57124100,27,41,0,83.5,0,17.4,6.2,617,0,18.5,5.8,529,1.6,13.2,34.09,1.39,2.2,1.6,2.2,1.0,5.09,370,0.245,16.7,59,222,282,556,13.89,533,5.59,1.85,55.6,0.59,1.8,3
4196,Cereal,"Cereal, chocolate flavored, frosted, puffed corn",57124200,0,0,0,87.2,0,4.5,3.8,0,0,17.637,3.34,1324,1.499,6.5,43.7,1.323,3.42,2.079,0.231,0.961,3.5,70,0.24,15.87,36,141,176,534,0.56,1324,5.29,1.764,52.9,0.11,0.6,3
4197,Cereal (General Mills Lucky Charms Chocolate),Cereal (General Mills Lucky Charms Chocolate),57124300,36,55,0,84.4,0,12.6,5.3,754,0,17.89,5.59,499,1.5,9.9,36.79,1.29,2.29,2.1,1.6,0.6,4.4,357,0.212,16.1,57,214,249,539,13.39,505,5.4,1.78,21.4,0.57,1.5,3
4198,Cereal (General Mills Cinnamon Toast Crunch),Cereal (General Mills Cinnamon Toast Crunch),57125000,0,4,2,77.99,0,13.1,6.8,85,0,24.533,5.45,918,2.067,4.7,30.3,2.467,3.24,4.92,2.11,0.975,10.25,444,0.192,20.48,54,199,201,567,18.12,918,6.65,2.7,19.4,2.14,9.4,3
4199,Cereal (General Mills 25% Less Sugar Cinnamon Toast Crunch),Cereal (General Mills 25% Less Sugar Cinnamon Toast Crunch),57125010,2,5,1,78.19,0,12.4,11.2,181,0,14.3,5.09,425,1.2,6.9,21.39,1.1,2.5,6.5,2.09,1.0,9.89,714,0.154,12.89,57,357,167,565,10.69,426,4.3,1.42,17.1,1.74,7.8,3
4201,Cereal (Kellogg's Cocoa Krispies),Cereal (Kellogg's Cocoa Krispies),57126000,0,0,0,87.9,0,8.7,1.4,0,0,16.1,4.6,1210,1.37,16.1,38.6,1.21,2.81,0.3,0.1,2.1,2.7,127,0.332,14.5,38,102,197,424,5.0,1210,4.8,1.61,48.0,10.8,0.1,3
4202,Cereal (Post Cocoa Pebbles),Cereal (Post Cocoa Pebbles),57127000,0,0,0,85.7,0,3.8,1.6,1,0,17.2,4.8,776,1.5,14.0,35.8,1.3,2.5,0.2,0.1,3.6,4.1,22,0.3,6.2,31,95,193,594,5.2,776,5.2,1.7,0.0,0.13,1.3,3
4203,Cereal (General Mills Cocoa Puffs),Cereal (General Mills Cocoa Puffs),57128000,34,52,0,83.7,0,12.2,5.7,735,0,18.5,5.6,521,1.6,6.5,37.2,1.4,1.8,1.7,2.1,1.0,5.2,370,0.148,16.7,59,222,272,564,13.9,527,5.6,1.852,22.2,0.7,2.1,3
4204,Cereal (General Mills Cookie Crisp),Cereal (General Mills Cookie Crisp),57130000,37,57,0,84.5,0,12.8,5.1,803,0,19.2,5.2,539,1.6,7.3,34.8,1.4,2.3,1.4,1.7,0.8,4.4,385,0.213,17.3,31,154,231,457,14.4,546,5.8,1.923,23.1,0.57,1.5,3
4205,Cereal (General Mills Chex Corn),Cereal (General Mills Chex Corn),57132000,52,79,0,85.0,0,12.9,4.7,1223,0,16.1,6.4,431,1.39,12.0,11.1,1.2,2.5,0.6,1.29,0.4,2.4,323,0.143,26.1,26,129,197,719,12.1,440,4.8,1.61,19.4,0.25,0.1,3
4206,Cereal,"Cereal, corn flakes",57134000,54,83,0,84.1,0,8.7,3.3,339,0,17.9,7.5,481,1.52,8.3,9.5,1.34,3.76,0.067,0.196,0.116,0.4,5,0.198,28.9,39,102,168,729,1.0,490,5.0,1.79,21.0,0.12,0.0,3
4207,Cereal (Kellogg's Corn Flakes),Cereal (Kellogg's Corn Flakes),57135000,54,83,0,84.1,0,8.7,3.3,339,0,17.9,7.5,481,1.52,8.3,9.5,1.34,3.76,0.067,0.196,0.116,0.4,5,0.198,28.9,39,102,168,729,1.0,490,5.0,1.79,21.0,0.12,0.0,3
4208,Cereal,"Cereal, corn puffs",57137000,52,80,0,82.82,0,15.3,8.8,1236,0,24.25,7.69,870,2.0,8.5,9.76,1.955,2.79,0.99,1.277,0.576,3.46,570,0.142,32.0,51,189,223,596,17.42,879,5.7,2.3,25.4,0.3,0.2,3
